,amazon_product_url,author,description,publisher,title,_id.$oid,bestsellers_date.$date.$numberLong,published_date.$date.$numberLong,price.$numberInt,rank.$numberInt,rank_last_week.$numberInt,weeks_on_list.$numberInt,price.$numberDouble
0,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20,Dean R Koontz,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,ODD HOURS,5b4aa4ead3089013507db18b,1211587200000,1212883200000,27,1,0,1,
1,http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20,Stephenie Meyer,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",THE HOST,5b4aa4ead3089013507db18c,1211587200000,1212883200000,,2,1,3,25.99
2,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20,Emily Giffin,A woman's happy marriage is shaken when she encounters an old boyfriend.,St. Martin's,LOVE THE ONE YOU'RE WITH,5b4aa4ead3089013507db18d,1211587200000,1212883200000,,3,2,2,24.95
3,http://www.amazon.com/The-Front-Garano-Patricia-Cornwell-ebook/dp/B0017T0C9M?tag=NYTBS-20,Patricia Cornwell,"A Massachusetts state investigator and his team from ""At Risk"" confront a rogue association of municipal police departments.",Putnam,THE FRONT,5b4aa4ead3089013507db18e,1211587200000,1212883200000,,4,0,1,22.95
4,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20,Chuck Palahniuk,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,Doubleday,SNUFF,5b4aa4ead3089013507db18f,1211587200000,1212883200000,,5,0,1,24.95
5,http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20,James Patterson and Gabrielle Charbonnet,A woman finds an unexpected love,"Little, Brown",SUNDAYS AT TIFFANY’S,5b4aa4ead3089013507db190,1211587200000,1212883200000,,6,3,4,24.99
6,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20,John Sandford,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,Putnam,PHANTOM PREY,5b4aa4ead3089013507db191,1211587200000,1212883200000,,7,4,3,26.95
7,http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Jimmy Buffett,A Southern family tries to hide its pet pig at a New York luxury hotel.,"Little, Brown",SWINE NOT?,5b4aa4ead3089013507db192,1211587200000,1212883200000,,8,6,2,21.99
8,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20,Elizabeth George,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",Harper,CARELESS IN RED,5b4aa4ead3089013507db193,1211587200000,1212883200000,,9,8,3,27.95
9,http://www.amazon.com/The-Whole-Truth-David-Baldacci/dp/0446539686?tag=NYTBS-20,David Baldacci,An intelligence agent and a journalist team up against a warmongering defense contractor.,Grand Central,THE WHOLE TRUTH,5b4aa4ead3089013507db194,1211587200000,1212883200000,,10,7,5,26.99
10,http://www.amazon.com/Careless-Red-Novel-Elizabeth-George/dp/0061160873?tag=NYTBS-20,Troy Denning,"The New Jedi order battles Darth Caedus, Darth Vader's gradson; a 'Star Wars: Legacy of the Force' novel.",Del Rey/Ballantine,INVINCIBLE,5b4aa4ead3089013507db195,1211587200000,1212883200000,27,11,5,2,
11,http://www.amazon.com/Unaccustomed-Earth-Jhumpa-Lahiri/dp/0307265730?tag=NYTBS-20,James Frey,"A novel, set in Los Angeles, by the author of ""A Million Little Pieces.""",Harper,BRIGHT SHINY MORNING,5b4aa4ead3089013507db196,1211587200000,1212883200000,,12,9,2,26.95
12,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20,Garth Stein,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",Harper,THE ART OF RACING IN THE RAIN,5b4aa4ead3089013507db197,1211587200000,1212883200000,,13,0,1,23.95
